System Name,APP ID,APP Name,OS,Environment,Model,Capacity (TB),Capacity PB,Dell's Planned year to remediate,Serial Number,2024,2025,2026,2027,2028,Total 5 Years Cost,New HW asset Cost,Difference
odnfxdd02,APP-2945,Data Domain ODN (PRD),0,Production,DD9400,254.3,0.2,18-Jul-26,APX00224615361,$0 ,$0 ,"$21,630 ","$57,102 ","$62,812 ","$141,544 ","$329,604 ","-$188,060"
fxdduiq01,APP-621,SmartMeter Utility IQ (PRD),0,Production,DD9300,292.3,0.3,16-Jul-24,APM00184702398,"$15,849 ","$17,434 ","$19,178 ","$21,096 ","$23,205 ","$96,763 ","$299,640 ","-$202,877"
fxdd09,APP-736,Data Domain UDN (PRD),0,Production,DD9900,"1,007.90",1.0,18-Jul-26,APM01205015732,$0 ,$0 ,"$7,994 ","$43,965 ","$48,361 ","$100,320 ","$329,604 ","-$229,284"
ffdd06,0,0,0,Production,DD9400,632.6,0.6,19-Jul-27,APM00175047638,$0 ,$0 ,$0 ,"$23,792.50 ","$62,812 ","$86,605 ","$362,564 ","-$275,960"
FXDD07,APP-736,Data Domain UDN (PRD),0,Production,DD9900,"1,324.90",1.3,17-Jul-25,APM00203006792,$0 ,"$15,139 ","$39,968 ","$43,965 ","$48,361 ","$147,433 ","$299,640 ","-$152,207"
RCDDUIQ01,APP-621,SmartMeter Utility IQ (PRD),0,Production,DD9300,291.6,0.3,16-Jul-24,APM00184614023,"$20,499 ","$22,549 ","$24,804 ","$27,284 ","$30,013 ","$125,150 ","$299,640 ","-$174,490"
RCDD07,APP-736,Data Domain UDN (PRD),0,Production,DD9900,"1,330.80",1.3,17-Jul-25,APM00203000050,$0 ,"$15,139 ","$39,968 ","$43,965 ","$48,361 ","$147,433 ","$299,640 ","-$152,207"
CDADMSDD01,0,0,0,Production,DD9400,340.7,0.3,18-Jul-26,APM01203301865,$0 ,$0 ,"$21,630 ","$57,102 ","$62,812 ","$141,544 ","$329,604 ","-$188,060"
fdadmsdd01,0,0,0,Production,DD9400,342.5,0.3,18-Jul-26,APM01203301863,$0 ,$0 ,"$21,630 ","$57,102 ","$62,812 ","$141,544 ","$329,604 ","-$188,060"
RDADMSDD01,0,0,0,Production,DD9400,340.1,0.3,18-Jul-26,APM01203301864,$0 ,$0 ,"$21,630 ","$57,102 ","$62,812 ","$141,544 ","$329,604 ","-$188,060"
RCDD08,APP-1690,Legacy Exchange Data Backup Server and Index Servers (OTH),0,Production,DD9900,"1,351.70",1.3,18-Jul-26,APM00203000051,$0 ,$0 ,"$7,994 ","$43,965 ","$48,361 ","$100,320 ","$329,604 ","-$229,284"
rcdd05,APP-736,Data Domain UDN (PRD),0,Production,DD9800,880.5,0.9,16-Jul-24,APM00173340245,"$48,486 ","$53,334 ","$58,668 ","$64,535 ","$70,988 ","$296,010 ","$299,640 ","-$3,630"
rcdd09,APP-736,Data Domain UDN (PRD),0,Production,DD9900,"1,002.90",1.0,18-Jul-26,APM01205000480,$0 ,$0 ,"$7,994 ","$43,965 ","$48,361 ","$100,320 ","$329,604 ","-$229,284"
FXDD08,APP-736,Data Domain UDN (PRD),0,Production,DD9900,"1,094.50",1.1,18-Jul-26,APM00203006793,$0 ,$0 ,"$7,994 ","$43,965 ","$48,361 ","$100,320 ","$329,604 ","-$229,284"
rcdd06,0,0,0,Production,DD9400,632.4,0.6,19-Jul-27,APM00175047637,$0 ,$0 ,$0 ,"$23,792.50 ","$62,812 ","$86,605 ","$362,564 ","-$275,960"
odnrcdd02,APP-2945,Data Domain ODN (PRD),0,Production,DD9400,254.5,0.2,18-Jul-26,APX00224615611,$0 ,$0 ,"$21,630 ","$57,102 ","$62,812 ","$141,544 ","$329,604 ","-$188,060"
ffdd05,APP-736,Data Domain UDN (PRD),0,Production,DD9800,878.9,0.9,16-Jul-24,APM00173330658,"$48,486 ","$53,334 ","$58,668 ","$64,535 ","$70,988 ","$296,010 ","$299,640 ","-$3,630"
ffav01,APP-2883,Avamar UDN (PRD),SuSE Linux 12,Production,Gen4T M1200,36.4,,9-Mar-27,APM00174415847,$0 ,$0 ,$0 ,"$1,864 ","$2,050 ","$3,914 ",$0 ,"$3,914"
fxav02,APP-2883,Avamar UDN (PRD),SuSE Linux 12,Production,Gen4T M1200,304,,9-Mar-27,APM00203117770,$0 ,$0 ,$0 ,"$1,864 ","$2,050 ","$3,914 ",$0 ,"$3,914"
fxav03,APP-2883,Avamar UDN (PRD),SuSE Linux 12,Production,Gen4T M1200,36,,29-Jul-26,APM01204512691,$0 ,$0 ,$706.07 ,"$1,864 ","$2,050 ","$4,621 ",$0 ,"$4,621"
fxavuiq01,APP-621,SmartMeter Utility IQ,SuSE Linux 12,Production,Gen4T M1200,25.5,,16-Apr-23,APM00184644345,"$1,400 ","$1,541 ","$1,695 ","$1,864 ","$2,050 ","$8,550 ",$0 ,"$8,550"
itavffcldmgt03,APP-2883,Avamar UDN (PRD),SuSE Linux 12,Production,Gen4T M1200,0.9,,9-Mar-22,APM00174415848,"$1,400 ","$1,541 ","$1,695 ","$1,864 ","$2,050 ","$8,550 ",$0 ,"$8,550"
itavrccldmgt03,APP-2883,Avamar UDN (PRD),SuSE Linux 12,Production,Gen4T M1200,1.8,,9-Mar-22,APM00174415863,"$1,400 ","$1,541 ","$1,695 ","$1,864 ","$2,050 ","$8,550 ",$0 ,"$8,550"
rcav01,APP-2883,Avamar UDN (PRD),SuSE Linux 12,Production,Gen4T M1200,67,,14-Mar-24,APM00174415846,"$1,400 ","$1,541 ","$1,695 ","$1,864 ","$2,050 ","$8,550 ",$0 ,"$8,550 "
rcav02,APP-2883,Avamar UDN (PRD),SuSE Linux 12,Production,Gen4T M1200,493.9,,9-Mar-27,APM00203117771,$0 ,$0 ,$0 ,$0 ,"$2,050 ","$2,050 ",$0 ,"$2,050 "
rcav03,APP-2883,Avamar UDN (PRD),SuSE Linux 12,Production,Gen4T M1200,59.4,,29-Jul-26,APM01204512692,$0 ,$0 ,$0 ,$776.68 ,$776.68 ,"$1,553 ",$0 ,"$1,553 "
rcavuiq01,APP-621,SmartMeter Utility IQ,SuSE Linux 12,Production,Gen4T M1200,13.5,,17-Apr-23,APM00184601087,"$1,400 ","$1,541 ","$1,695 ","$1,864 ","$2,050 ","$8,550 ",$0 ,"$8,550 "
cdadmsav01,APP-2884,Avamar ODN (OTH),SuSE Linux 12,Production,Gen4T M1200,54.8,,5-Dec-28,APM00203319831,$0 ,$0 ,$0 ,$0 ,"$2,050 ","$2,050 ",$0 ,"$2,050 "
fdadmsav01,APP-2884,Avamar ODN (OTH),SuSE Linux 12,Production,Gen4T M1200,8.3,,5-Dec-28,APM00203319832,$0 ,$0 ,$0 ,$0 ,"$2,050 ","$2,050 ",$0 ,"$2,050 "
odnfxav01,APP-2884,Avamar ODN (PRD),SuSE Linux 12,Production,1 x Gen4t-M1200,56.1,,9-Mar-27,APM00180630608,$0 ,$0 ,$0 ,$776.68 ,"$2,050 ","$2,827 ",$0 ,"$2,827 "
odnrcav01,APP-2884,Avamar ODN (PRD),SuSE Linux 12,Production,1 x Gen4t-M1200,43.7,,9-Mar-27,APM00180630607,$0 ,$0 ,$0 ,$776.68 ,"$2,050 ","$2,827 ",$0 ,"$2,827 "
rdadmsav01,APP-2884,Avamar ODN (OTH),SuSE Linux 12,Production,Gen4T M1200,30.9,,5-Dec-28,APM00203319830,$0 ,$0 ,$0 ,$0 ,"$2,050 ","$2,050 ",$0 ,"$2,050 "
,,,,,,,,,,,,,,,,,
