System Name,OS,APP ID,APP NAME,ENVIRONMENT,Model,Capacity (TB),Dell's Planned year to remediate,Unit Count 2024,Capacity TB 2024,Unit Count 2025,Capacity TB 2025,Unit Count 2026,Capacity TB 2026,Unit Count 2027,Capacity TB 2027,Serial Number for Device,Serial Number,2024,2025,2026,2027,2028,Total 5 Years Cost,New HW asset Cost,Difference
ffemcpmax01,, , , ,PowerMax_2000,549.6,16-Jul-24,,,,,,,,,HK197900264,197900264,"$81,643.06","$89,807.37","$98,788.10","$108,666.91","$119,533.60","$498,439.05","$1,915,161 ","$544,514.95 "
ffemcpmax02,0,APP-782,Tier 1 Enterprise Storage- Block (PRD),0,PowerMax_8000,"1,137.50",17-Jul-25,,,,,,,,,HK197601262,#N/A,0,"$50,908 ","$134,397 ","$147,836.70 ","$162,620.37 ",495762.07,"$1,915,161 ","$1,419,398.93 "
ffemcpmax03,0,APP-782,Tier 1 Enterprise Storage- Block (PRD),0,PowerMax_2000,416.1,17-Jul-25,,,,,,,,,HK197901836,#N/A,0,"$31,630 ","$83,503 ","$91,853.52 ","$101,038.87 ",308025.592,"$1,915,161 ","$734,928.41 "
ffemcvmax02,, , , ,VMAX250F,520.7,16-Jul-24,,,,,,,,,HK197801754,197801754,"$13,479.05","$14,826.96","$16,309.65","$17,940.62","$19,734.68","$82,290.95","$4,596,151 ","$4,513,860.05 "
ffemcvmax03,0,APP-1114,EMC Block (TRN),0,VMAX250F,239.2,16-Jul-24,,,,,,,,,HK197801763,#N/A,"$5,109.04","$5,619.94","$6,181.94","$6,800.13","$7,480.15","$31,191.20","$4,596,151 ","$4,564,959.80 "
ffemcvmax04,0,APP-1114,EMC Block (TRN),0,VMAX250F,128.2,16-Jul-24,,,,,,,,,HK197802172,#N/A,"$47,085.57","$51,794.13","$56,973.54","$62,670.89","$68,937.98","$287,462.11","$4,596,151 ","$755,491.89 "
rcemcpmax01,, , , ,PowerMax_2000,588.9,16-Jul-24,,,,,,,,,HK197900261,197900261,"$126,977.41","$139,675.15","$153,642.67","$169,006.93","$185,907.63","$775,209.79","$1,915,161 ","$267,744.21 "
rcemcpmax02,, , , ,PowerMax_2000,801.5,16-Jul-24,,,,,,,,,HK197900382,197900382,"$147,361.98","$162,098.18","$178,308.00","$196,138.80","$215,752.67","$899,659.62","$1,915,161 ","$143,294.38 "
rcemcpmax03,0,APP-782,Tier 1 Enterprise Storage- Block (PRD),0,PowerMax_2000,399.8,17-Jul-25,,,,,,,,,HK197901837,#N/A,0,"$31,630 ","$83,503 ","$91,853.52 ","$101,038.87 ",308025.592,"$1,915,161 ","$734,928.41 "
rcemcpmax04,, , , ,PowerMax_2000,303.6,17-Jul-25,,,,,,,,,HK197901517,197901517,0,"$31,630 ","$83,503 ","$91,853.52 ","$101,038.87 ",308025.592,"$1,915,161 ","$734,928.41 "
rcemcpmax05,, , , ,PowerMax_8000,"1,185.30",17-Jul-25,,,,,,,,,HK197601173,197601173,0,"$50,908 ","$134,397 ","$147,836.70 ","$162,620.37 ",495762.07,"$1,915,161 ","$1,419,398.93 "
rcemcvmax02,, , , ,VMAX250F,522,16-Jul-24,,,,,,,,,HK197801759,197801759,"$147,361.98","$162,098.18","$178,308.00","$196,138.80","$215,752.67","$899,659.62","$4,596,151 ","$3,696,491.38 "
rcemcvmax03,0,APP-782,Tier 1 Enterprise Storage- Block (DEV),Production,VMAX250F,338,16-Jul-24,,,,,,,,,HK197801762,#N/A,"$147,361.98","$162,098.18","$178,308.00","$196,138.80","$215,752.67","$899,659.62","$4,596,151 ","$3,696,491.38 "
rcemcvmax04,0,APP-1114,EMC Block (TRN),Production,VMAX250F,105.8,16-Jul-24,,,,,,,,,HK197802171,#N/A,"$147,361.98","$162,098.18","$178,308.00","$196,138.80","$215,752.67","$899,659.62","$4,596,151 ","$3,696,491.38 "
rcnas02,, , , ,PowerScale Cluster,"1,297.80",16-Jul-24,2,81.1125,,,20,811.125,10,405.5625,8 Node Cluster,#N/A,"$69,954 ","$76,949.40","$84,644.34","$93,108.77","$102,419.65","$427,076.17","$393,800 ","-$33,276.17"
rcnas03,, , , ,PowerScale Cluster,"3,460.30",17-Jul-25,,,6,648.80625,20,2162.6875,6,648.80625,32 Node Cluster,#N/A,0,"$102,599 ","$270,862 ","$297,948 ","$327,743 ",999152,"$1,575,200 ","$576,048.00"
fxnas02,, , , ,PowerScale Cluster,"1,297.80",16-Jul-24,2,81.1125,,,20,811.125,10,405.5625,8 Node Cluster,#N/A,"$69,954 ","$76,949.40","$84,644.34","$93,108.77","$102,419.65","$427,076.17","$393,800 ","-$33,276.17"
fxnas03,, , , ,PowerScale Cluster,"3,460.30",17-Jul-25,,,6,648.80625,20,2162.6875,6,648.80625,32 Node Cluster,#N/A,0,"$102,599 ","$270,862 ","$297,948 ","$327,743 ",999152,"$1,575,200 ","$576,048.00"
cdadmspmax01,0,0,0,0,PowerMax_2000,327,18-Jul-26,,,,,,,,,HK197901640,#N/A,0,$0 ,"$34,793 ","$91,853.52 ","$101,038.87 ",227685.392,"$1,915,161 ","$815,268.61"
fdadmspmax01,0,0,0,0,PowerMax_2000,516,18-Jul-26,,,,,,,,,HK197901515,#N/A,0,$0 ,"$55,999 ","$91,853.52 ","$101,038.87 ",248891.142,"$1,915,161 ","$794,062.86"
rdadmspmax01,0,0,0,0,PowerMax_2000,231,18-Jul-26,,,,,,,,,HK197901516,#N/A,0,$0 ,"$74,295 ","$91,853.52 ","$101,038.87 ",267187.3903,"$1,915,161 ","$775,766.61"
ffsap01,, , , ,VMAX100K,206,16-Jul-24,,,,,,,,,HK196801091,0,"$91,634.00","$244,359 ","$268,795 ","$295,674 ","$325,242 ","$264,618.54","$1,915,161 ","$1,650,542.46 "
ffsap02,, , , ,VMAX100K,150,16-Jul-24,,,,,,,,,HK196801513,0,"$91,634.00","$244,359 ","$268,795 ","$295,674 ","$325,242 ","$264,618.54","$1,915,161 ","$1,650,542.46 "
